iid,gender,condtn,age,field_cd,race,imprace,imprelig,income,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,match.prob
139,1,1,37,5,4,6,1,64992,6,3,2,7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8,8,0
140,1,1,29,8,2,5,5,62774,5,2,7,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,6,0.4
141,1,1,28,8,3,4,4,60156,6,2,7,10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6,4,0.2
142,0,2,24,13,2,1,4,50745,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,0.4375
143,0,2,33,1,2,6,2,38328,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,0
144,0,2,23,10,2,5,2,29279,5,2,2,10,7,9,6,6,6,4,3,7,7,5,4,7,9,8,7,4,5,0.0625
145,0,2,24,10,2,9,7,38774,7,1,2,2,1,2,9,9,5,2,2,1,8,10,10,10,5,8,9,2,5,0
146,0,2,36,6,2,1,7,58802,7,1,2,5,2,5,5,8,8,3,1,3,10,8,8,8,5,8,8,3,5,0.0625
147,0,2,26,8,4,3,3,41831,5,1,7,8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10,5,0.3125
148,0,2,27,8,4,7,4,48294,4,1,7,7,4,6,9,9,9,5,2,1,10,10,9,9,5,7,9,7,5,0.066666667
149,0,2,28,13,2,3,3,52186,5,2,2,8,4,5,8,8,8,8,3,6,6,6,5,8,7,10,9,8,4,0.333333333
150,0,2,31,7,2,3,3,55080,5,2,2,5,1,3,5,3,3,9,1,5,7,1,1,7,5,4,2,10,5,0.133333333
151,0,2,28,13,2,1,2,60525,3,1,9,5,1,8,10,9,8,8,4,1,8,1,9,8,9,10,7,7,3,0.133333333
152,0,2,27,13,4,2,3,77468,4,3,2,4,1,4,8,9,8,5,5,7,10,5,9,10,9,9,7,1,5,0.1875
153,0,2,28,7,4,1,1,84090,6,3,2,8,5,7,7,7,6,6,5,7,10,6,7,9,7,7,8,5,6,0.230769231
154,0,2,27,8,2,8,3,97857,4,1,7,10,7,8,8,6,6,6,1,6,8,7,7,8,6,6,3,2,7,0.466666667
155,0,2,27,8,2,5,1,74624,5,1,9,2,1,10,10,7,8,5,1,1,10,4,10,9,5,7,7,4,3,0.071428571
156,0,2,30,8,1,1,1,21590,6,3,7,3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,6,0.266666667
157,0,2,28,8,4,5,3,38832,6,1,7,8,7,8,8,6,6,9,2,9,7,4,6,7,5,6,6,3,4,0.071428571
158,1,2,23,10,2,3,4,37248,6,2,2,2,4,4,6,7,4,7,7,6,8,6,5,8,4,9,5,1,7,0
159,1,2,28,10,2,7,2,33708,6,2,2,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,6,0.142857143
160,1,2,29,8,1,3,4,28240,5,2,8,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,6,0.133333333
161,1,2,22,10,2,6,2,53771,4,2,10,9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,7,0.142857143
162,1,2,27,10,4,1,1,50925,6,2,4,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,4,0.142857143
163,1,2,26,9,2,1,1,56096,3,3,2,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2,0.1875
164,1,2,27,7,2,1,1,31560,6,2,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,5,0.125
165,1,2,30,13,2,4,7,52467,6,3,6,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,6,0.1875
166,1,2,26,8,6,1,9,80006,5,2,7,5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,6,0.214285714
167,1,2,23,10,2,1,1,47572,6,2,2,9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,3,0.2
168,1,2,23,10,4,1,1,22439,4,2,10,5,5,3,5,5,5,5,3,3,5,3,5,5,5,3,3,3,5,0.066666667
169,1,2,28,10,2,2,3,31383,6,2,2,10,7,8,9,9,7,7,1,6,4,2,7,6,8,8,4,4,6,0.3125
170,1,2,28,10,4,2,1,31208,5,3,4,2,1,8,8,8,8,5,3,1,9,8,7,8,6,8,4,5,6,0
171,1,2,29,8,2,1,1,35988,4,2,7,8,2,8,8,5,5,5,2,8,9,6,6,9,4,9,7,1,8,0.266666667
172,1,2,27,8,2,5,7,46981,3,1,7,7,8,7,8,4,5,5,6,8,7,4,6,8,8,7,6,3,5,0.3125
173,1,2,22,2,2,5,7,51931,4,1,2,10,8,9,6,5,6,7,4,8,7,4,5,6,9,10,3,6,3,0.3125
174,0,1,29,8,4,1,1,58802,5,3,7,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5,0.2
175,0,1,23,13,6,5,8,40749,3,1,7,8,2,6,8,7,7,3,3,6,6,5,6,5,6,9,5,3,7,0.3
176,0,1,28,8,4,10,1,47538,6,3,7,7,6,5,10,10,9,7,4,4,5,5,8,8,8,8,6,3,7,0.3
177,0,1,22,13,2,8,3,47997,5,2,7,5,9,6,8,6,4,2,3,7,9,7,6,7,3,4,5,1,6,0
178,0,1,35,3,4,5,5,63130,4,2,4,3,4,7,9,8,8,8,2,9,8,8,8,8,8,9,6,8,5,0.111111111
179,0,1,30,6,3,5,1,78704,6,3,2,5,5,10,10,7,7,5,1,7,10,1,8,8,7,9,10,9,2,0.125
180,0,1,24,8,4,2,2,53720,4,2,7,7,7,5,9,5,5,8,5,9,6,7,9,9,7,8,9,7,6,0.222222222
181,0,1,22,4,1,7,8,31143,5,5,2,3,6,5,9,9,9,6,3,9,9,9,9,9,9,9,9,6,4,0.5
182,0,1,22,4,1,7,5,40838,4,3,4,5,6,2,8,3,2,1,4,1,7,8,2,6,4,10,8,1,6,0
183,0,1,24,11,2,1,1,34112,7,3,6,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,5,0.1
184,1,1,34,8,2,1,1,32129,4,2,7,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,9,0.4
185,1,1,25,2,4,3,4,39820,7,4,6,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,6,0.111111111
186,1,1,24,5,4,4,3,44195,7,3,2,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,7,0.3
187,1,1,26,8,2,10,5,43455,4,1,7,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,6,0.111111111
188,1,1,21,5,2,1,1,46837,3,1,2,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,6,0.1
189,1,1,27,1,6,6,1,58940,6,2,9,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,5,0
190,1,1,25,13,2,1,1,69553,7,3,9,7,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,8,0.333333333
191,1,1,28,8,2,6,1,75242,4,2,7,8,1,7,8,6,6,6,1,8,7,3,4,8,4,7,1,7,4,0.2
192,1,1,24,8,2,2,7,97972,6,2,7,7,5,7,7,3,2,6,8,7,9,6,3,6,7,8,4,5,4,0.1
193,1,1,25,1,4,2,2,35960,6,2,1,8,10,7,9,9,8,1,1,4,10,10,10,10,9,9,9,5,4,0.2
194,0,2,24,3,2,9,9,65708,3,2,3,8,6,6,9,6,6,4,8,7,9,9,6,9,5,7,9,4,7,0.052631579
195,0,2,27,10,2,3,9,49466,2,1,2,7,6,9,8,5,5,9,9,8,10,1,3,4,3,6,5,1,8,0.25
196,0,2,25,7,4,1,6,53766,1,1,2,3,3,6,7,7,7,8,6,8,6,8,9,9,9,9,7,9,6,0.105263158
197,0,2,24,13,6,2,1,53229,4,3,7,6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,3,0.15
198,0,2,23,13,4,8,5,43177,2,3,7,6,8,6,9,8,8,9,5,7,4,9,9,9,9,9,10,4,6,0
199,0,2,30,7,2,2,1,32649,5,3,2,8,3,10,10,10,10,1,1,7,10,4,7,8,3,5,7,1,4,0.25
200,0,2,25,8,2,1,1,35867,7,2,9,10,3,9,8,7,7,10,3,6,8,1,8,8,9,10,3,4,5,0.157894737
201,0,2,25,8,2,8,8,38863,4,2,7,8,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,6,2,0.052631579
202,0,2,22,2,2,8,5,40244,6,2,2,8,8,9,7,6,4,4,1,6,8,7,7,9,6,7,7,1,3,0.117647059
203,0,2,22,2,2,4,10,42640,6,2,2,3,1,8,6,4,2,2,1,6,7,10,6,8,3,7,9,2,3,0
204,0,2,26,8,2,8,6,52388,5,1,7,10,5,9,9,10,10,3,1,9,8,4,5,5,3,8,10,7,4,0
205,0,2,23,10,2,5,5,48959,7,1,2,8,2,6,8,6,6,7,2,6,9,3,3,8,5,6,3,5,5,0.111111111
206,0,2,31,8,1,2,2,52495,5,1,9,5,5,5,9,7,7,7,7,9,9,5,7,7,7,9,5,7,6,0.421052632
207,0,2,23,10,2,9,5,53430,3,1,1,10,8,8,7,5,5,2,3,4,3,7,7,6,5,7,9,6,6,0.166666667
208,0,2,25,10,1,2,1,62875,4,3,7,9,7,7,9,10,10,10,5,8,8,5,7,9,10,10,9,8,5,0.555555556
209,0,2,28,13,1,7,3,30855,6,2,7,3,2,6,8,5,5,6,8,8,3,6,7,8,7,10,3,3,7,0
210,0,2,29,10,2,10,4,46800,6,3,2,9,3,9,8,9,9,9,1,2,9,5,7,7,7,7,5,1,5,0.166666667
211,0,2,28,13,2,9,1,43871,4,1,9,9,8,9,10,9,9,5,8,1,9,9,10,10,9,7,10,7,5,0.105263158
212,0,2,27,8,3,3,6,45695,5,2,7,8,5,8,8,8,8,8,6,9,8,8,8,8,6,7,8,3,5,0.5
213,0,2,25,13,3,9,10,47133,4,2,7,8,7,9,8,8,7,6,7,7,8,7,10,10,8,9,8,5,7,0.105263158
214,1,2,23,10,2,6,8,46792,6,2,2,9,3,10,8,6,7,7,4,7,3,1,9,6,4,6,7,1,6,0.111111111
215,1,2,26,8,4,3,1,53501,4,1,7,8,6,9,9,6,4,2,7,6,9,5,2,9,2,7,9,2,7,0.277777778
