iid,gender,condtn,match,age,field,field_cd,race,imprace,imprelig,income,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum
5,0,1,0,21,Law,1,2,8,1,"86,340.00",4,1,lawyer,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
5,0,1,1,21,Law,1,2,8,1,"86,340.00",4,1,lawyer,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
5,0,1,0,21,Law,1,2,8,1,"86,340.00",4,1,lawyer,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
6,0,1,0,23,law,1,4,1,1,"60,304.00",3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
6,0,1,0,23,law,1,4,1,1,"60,304.00",3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
6,0,1,0,23,law,1,4,1,1,"60,304.00",3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
6,0,1,1,23,law,1,4,1,1,"60,304.00",3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
6,0,1,0,23,law,1,4,1,1,"60,304.00",3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
6,0,1,0,23,law,1,4,1,1,"60,304.00",3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
6,0,1,0,23,law,1,4,1,1,"60,304.00",3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
6,0,1,0,23,law,1,4,1,1,"60,304.00",3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
6,0,1,1,23,law,1,4,1,1,"60,304.00",3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
6,0,1,0,23,law,1,4,1,1,"60,304.00",3,1,lawyer,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
7,0,1,0,22,Law,1,4,2,4,"54,620.00",5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
7,0,1,0,22,Law,1,4,2,4,"54,620.00",5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
7,0,1,0,22,Law,1,4,2,4,"54,620.00",5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
7,0,1,1,22,Law,1,4,2,4,"54,620.00",5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
7,0,1,0,22,Law,1,4,2,4,"54,620.00",5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
7,0,1,0,22,Law,1,4,2,4,"54,620.00",5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
7,0,1,0,22,Law,1,4,2,4,"54,620.00",5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
7,0,1,0,22,Law,1,4,2,4,"54,620.00",5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
7,0,1,1,22,Law,1,4,2,4,"54,620.00",5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
7,0,1,0,22,Law,1,4,2,4,"54,620.00",5,1,Law,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
8,0,1,0,25,Masters in Public Administration,13,2,1,1,,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
8,0,1,1,25,Masters in Public Administration,13,2,1,1,,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
8,0,1,1,25,Masters in Public Administration,13,2,1,1,,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
8,0,1,1,25,Masters in Public Administration,13,2,1,1,,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
8,0,1,1,25,Masters in Public Administration,13,2,1,1,,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
8,0,1,1,25,Masters in Public Administration,13,2,1,1,,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
8,0,1,0,25,Masters in Public Administration,13,2,1,1,,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
8,0,1,1,25,Masters in Public Administration,13,2,1,1,,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
8,0,1,1,25,Masters in Public Administration,13,2,1,1,,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
8,0,1,1,25,Masters in Public Administration,13,2,1,1,,5,1,Journalist,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
9,0,1,0,26,Masters in Public Administration,13,6,1,1,,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15
9,0,1,1,26,Masters in Public Administration,13,6,1,1,,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15
9,0,1,1,26,Masters in Public Administration,13,6,1,1,,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15
9,0,1,1,26,Masters in Public Administration,13,6,1,1,,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15
9,0,1,1,26,Masters in Public Administration,13,6,1,1,,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15
9,0,1,1,26,Masters in Public Administration,13,6,1,1,,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15
9,0,1,1,26,Masters in Public Administration,13,6,1,1,,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15
9,0,1,0,26,Masters in Public Administration,13,6,1,1,,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15
9,0,1,1,26,Masters in Public Administration,13,6,1,1,,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15
9,0,1,0,26,Masters in Public Administration,13,6,1,1,,4,1,"Congresswoman, and comedian",9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15
10,0,1,0,26,Masters of Social Work&Education,13,2,4,4,"48,652.00",6,1,To create early childhood intervention programs,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10
10,0,1,0,26,Masters of Social Work&Education,13,2,4,4,"48,652.00",6,1,To create early childhood intervention programs,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10
10,0,1,1,26,Masters of Social Work&Education,13,2,4,4,"48,652.00",6,1,To create early childhood intervention programs,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10
10,0,1,0,26,Masters of Social Work&Education,13,2,4,4,"48,652.00",6,1,To create early childhood intervention programs,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10
10,0,1,0,26,Masters of Social Work&Education,13,2,4,4,"48,652.00",6,1,To create early childhood intervention programs,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10
10,0,1,0,26,Masters of Social Work&Education,13,2,4,4,"48,652.00",6,1,To create early childhood intervention programs,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10
10,0,1,0,26,Masters of Social Work&Education,13,2,4,4,"48,652.00",6,1,To create early childhood intervention programs,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10
10,0,1,0,26,Masters of Social Work&Education,13,2,4,4,"48,652.00",6,1,To create early childhood intervention programs,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10
10,0,1,1,26,Masters of Social Work&Education,13,2,4,4,"48,652.00",6,1,To create early childhood intervention programs,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10
10,0,1,0,26,Masters of Social Work&Education,13,2,4,4,"48,652.00",6,1,To create early childhood intervention programs,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,10
11,1,1,0,27,Finance,8,2,7,3,,5,4,"Academia, Research, Banking, Life",2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3
11,1,1,0,27,Finance,8,2,7,3,,5,4,"Academia, Research, Banking, Life",2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3
11,1,1,0,27,Finance,8,2,7,3,,5,4,"Academia, Research, Banking, Life",2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3
11,1,1,0,27,Finance,8,2,7,3,,5,4,"Academia, Research, Banking, Life",2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3
11,1,1,0,27,Finance,8,2,7,3,,5,4,"Academia, Research, Banking, Life",2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3
11,1,1,0,27,Finance,8,2,7,3,,5,4,"Academia, Research, Banking, Life",2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3
11,1,1,0,27,Finance,8,2,7,3,,5,4,"Academia, Research, Banking, Life",2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3
11,1,1,0,27,Finance,8,2,7,3,,5,4,"Academia, Research, Banking, Life",2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3
11,1,1,0,27,Finance,8,2,7,3,,5,4,"Academia, Research, Banking, Life",2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3
12,1,1,0,22,Law,1,2,1,1,"29,237.00",1,1,Corporate Lawyer,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20
12,1,1,0,22,Law,1,2,1,1,"29,237.00",1,1,Corporate Lawyer,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20
12,1,1,0,22,Law,1,2,1,1,"29,237.00",1,1,Corporate Lawyer,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20
12,1,1,0,22,Law,1,2,1,1,"29,237.00",1,1,Corporate Lawyer,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20
12,1,1,0,22,Law,1,2,1,1,"29,237.00",1,1,Corporate Lawyer,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20
12,1,1,0,22,Law,1,2,1,1,"29,237.00",1,1,Corporate Lawyer,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20
12,1,1,0,22,Law,1,2,1,1,"29,237.00",1,1,Corporate Lawyer,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20
12,1,1,1,22,Law,1,2,1,1,"29,237.00",1,1,Corporate Lawyer,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20
12,1,1,1,22,Law,1,2,1,1,"29,237.00",1,1,Corporate Lawyer,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20
12,1,1,0,22,Law,1,2,1,1,"29,237.00",1,1,Corporate Lawyer,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20
13,1,1,1,22,Law,1,4,3,5,,7,1,Lawyer,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4
13,1,1,0,22,Law,1,4,3,5,,7,1,Lawyer,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4
13,1,1,0,22,Law,1,4,3,5,,7,1,Lawyer,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4
13,1,1,0,22,Law,1,4,3,5,,7,1,Lawyer,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4
13,1,1,0,22,Law,1,4,3,5,,7,1,Lawyer,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4
13,1,1,0,22,Law,1,4,3,5,,7,1,Lawyer,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4
13,1,1,0,22,Law,1,4,3,5,,7,1,Lawyer,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4
13,1,1,1,22,Law,1,4,3,5,,7,1,Lawyer,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4
13,1,1,1,22,Law,1,4,3,5,,7,1,Lawyer,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4
13,1,1,1,22,Law,1,4,3,5,,7,1,Lawyer,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3,4
14,1,1,1,23,Law,1,2,1,1,"56,580.00",4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15
14,1,1,1,23,Law,1,2,1,1,"56,580.00",4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15
14,1,1,0,23,Law,1,2,1,1,"56,580.00",4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15
14,1,1,1,23,Law,1,2,1,1,"56,580.00",4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15
14,1,1,1,23,Law,1,2,1,1,"56,580.00",4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15
14,1,1,1,23,Law,1,2,1,1,"56,580.00",4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15
14,1,1,1,23,Law,1,2,1,1,"56,580.00",4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15
14,1,1,1,23,Law,1,2,1,1,"56,580.00",4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15
14,1,1,1,23,Law,1,2,1,1,"56,580.00",4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15
14,1,1,0,23,Law,1,2,1,1,"56,580.00",4,1,Corporate attorney,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15
15,1,1,1,24,Law,1,3,3,1,"36,782.00",4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9
15,1,1,0,24,Law,1,3,3,1,"36,782.00",4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9
15,1,1,0,24,Law,1,3,3,1,"36,782.00",4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9
15,1,1,0,24,Law,1,3,3,1,"36,782.00",4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9
15,1,1,0,24,Law,1,3,3,1,"36,782.00",4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9
15,1,1,0,24,Law,1,3,3,1,"36,782.00",4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9
15,1,1,0,24,Law,1,3,3,1,"36,782.00",4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9
15,1,1,1,24,Law,1,3,3,1,"36,782.00",4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9
15,1,1,1,24,Law,1,3,3,1,"36,782.00",4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9
15,1,1,0,24,Law,1,3,3,1,"36,782.00",4,1,Lawyer,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9
16,1,1,0,25,Business,8,2,9,2,,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10
16,1,1,0,25,Business,8,2,9,2,,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10
16,1,1,0,25,Business,8,2,9,2,,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10
16,1,1,0,25,Business,8,2,9,2,,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10
16,1,1,0,25,Business,8,2,9,2,,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10
16,1,1,0,25,Business,8,2,9,2,,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10
16,1,1,0,25,Business,8,2,9,2,,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10
16,1,1,1,25,Business,8,2,9,2,,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10
16,1,1,1,25,Business,8,2,9,2,,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10
16,1,1,0,25,Business,8,2,9,2,,5,1,research/financial industry,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10
17,1,1,0,30,political science,13,2,1,1,"38,548.00",3,2,academics or journalism,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2
17,1,1,0,30,political science,13,2,1,1,"38,548.00",3,2,academics or journalism,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2
17,1,1,0,30,political science,13,2,1,1,"38,548.00",3,2,academics or journalism,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2
17,1,1,0,30,political science,13,2,1,1,"38,548.00",3,2,academics or journalism,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2
17,1,1,0,30,political science,13,2,1,1,"38,548.00",3,2,academics or journalism,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2
17,1,1,0,30,political science,13,2,1,1,"38,548.00",3,2,academics or journalism,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2
17,1,1,0,30,political science,13,2,1,1,"38,548.00",3,2,academics or journalism,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2
17,1,1,0,30,political science,13,2,1,1,"38,548.00",3,2,academics or journalism,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2
17,1,1,1,30,political science,13,2,1,1,"38,548.00",3,2,academics or journalism,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2
17,1,1,0,30,political science,13,2,1,1,"38,548.00",3,2,academics or journalism,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2
18,1,1,0,27,Business,8,2,8,8,"52,010.00",6,1,Financial Services,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2
18,1,1,0,27,Business,8,2,8,8,"52,010.00",6,1,Financial Services,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2
18,1,1,0,27,Business,8,2,8,8,"52,010.00",6,1,Financial Services,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2
18,1,1,0,27,Business,8,2,8,8,"52,010.00",6,1,Financial Services,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2
18,1,1,0,27,Business,8,2,8,8,"52,010.00",6,1,Financial Services,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2
18,1,1,0,27,Business,8,2,8,8,"52,010.00",6,1,Financial Services,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2
18,1,1,1,27,Business,8,2,8,8,"52,010.00",6,1,Financial Services,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2
18,1,1,0,27,Business,8,2,8,8,"52,010.00",6,1,Financial Services,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2
19,1,1,1,28,money,8,2,1,1,,1,1,ceo,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,20
